map_name,star_level,map_description,best_record
老街管道,1,老街小巷的旧时光，用漂移的碎片缓缓集藏，穿越在管道的深巷，和旭日的阳光一起飞翔。,99999
中国城,1,和蜿蜒的祥龙一起驰骋壮美河山，穿梭于青砖红瓦的城之间，在漂移中感受家的温暖。,99999
滨海沙滩,1,穿梭在椰林海风之间，同白云追逐，和阳光赛跑，在浅滩上漂移，感受滨海沙滩的惬意休闲。,99999
大坝,1,越过荒漠的峭壁，疾驰于轰鸣机器之间，引擎的轰鸣掩盖水流的汹涌，极速核电站等你挑战。,99999
狂鲨水世界,2,河豚的呆萌可爱浇灭盛夏的炎热，大章鱼的张牙舞爪拥抱着久违的清凉，海豚的精彩表演带来全新的惊喜，大狂鲨倾盆大口下的疾驰，同水上过山车一起的极速狂飙，一夏的欢乐时光，都在摩天轮的转动和海上隧道中不断地流转。,99999
酥脆奶油谷,2,蛋糕小屋，饼干道路，曲奇饼方向指标，诱人的草莓能否让你心醉其中，嗅到甜蜜？香甜的味道在奶油山谷中不断地回荡弥漫。甜蜜冲刺，和憨态可爱的饼干小熊一起在酥脆奶油谷中快乐一夏吧。,99999
极地海龙湾,2,松针压地，白雪覆盖，极寒之地有道海峡，冰龙守护，井然有序，一如积雪凝重庄严。远方来的勇士，请在极地海龙湾的安宁秩序下开启新的冒险！,99999
玫瑰之恋,2,穿梭在浪漫的婚礼教堂，飞越在阳光下玫瑰花的芬芳，在红地毯上疾驰，玫瑰之恋中邂逅纯真的爱情。,99999
情迷爱琴海,2,用漂移的轨迹描绘海岸线的蜿蜒，引擎的喧嚣涟漪起海洋的浪漫，投入海天相约的拥抱，在爱琴海追寻爱恋。,99999
法老金字塔,2,和神圣的狮身人面像对视，在错综复杂的密道内激情驰骋，飞跃俯瞰这座宏伟的奇迹，新的异域探险就此开启。,99999
马达加斯加,2,在广阔的草原和动物们尽情奔驰，火山隧道的穿越感受心跳加速，马达加斯加的午后让你享受异域的热情。,99999
冰川滑雪场,2,在冰天雪地里极速漂移，在海豚冰雕下飞驰穿梭，冰川滑雪场的冲刺为你带来清爽！,99999
桃源剑阁,3,轻舞翠竹林，剑起叶落，泣一段仙侠情缘；月洒仙鹤桥，音回走廊，歌一曲仙侠离殇；云浮绕半崖，龙戏夕阳，醉一夜仙侠无悔；珠落铸剑窟，焚燃剑冢，闯一次仙侠冒险。,99999
玄门幽谷,3,流瀑潺潺，仙鹤绕云，剑仙巨像静静地守护着灵山一方；断壁残垣，剑指天地，仙魔大战激扬地讲述着恩怨情长；幽魅妖塔，仙境瑶池，蜀山神树牢固地连接着仙侠过往。,99999
英伦古堡,3,华灯闪耀着的是古堡沉淀的岁月悠久，琉璃窗花的斑驳折射着教堂的神圣与梦幻，从流淌的护城河与严肃的禁卫军面前疾驰而过，与蓝天白云、彩虹信鸽一起自由飞翔，一起在古堡里探险，一起到田野间感受轻风与花香。,99999
北海渔场,3,从小镇的林间小道疾驰而过，海风拂面，白鸽绕舞，是摇曳的树枝洒下时光最后的斑驳，还是午后渔场享受着惬意的悠闲。浮云飘过，车站静等，清澈的天空，微漾的海面，海鸥的歌鸣，伴随着引擎的喧嚣，为你呈现出海天一色的渔场风光。,99999
夜鸣沙都,3,是岁月的尘沙从未遮掩的辉煌符号，是荒凉的大漠中绽放的璀璨奇迹，也是来自神秘东方的盛情夜宴。在沿路佛像的注目洗礼下，踏上雅致的敦煌古径，领略过夕阳西下的鸣沙山、映月无尘的月牙泉、宏伟奇叹的千佛洞，便会明白敦煌的瑰丽文化与神秘力量。,99999
水行玛雅,3,古老的符号刻印着玛雅的过往，时光的秘密在河水里静静流淌，宏伟的遗迹是古人信仰的传承，倾泻而下的潺潺流瀑，记录着流传至今的过往。翻涌的云海和绵延不绝的山峰，庇护着永恒的玛雅文明，沉寂在海底的未知，等你来寻找。,99999
鸭鸭水乐园,3,起跑的号角全面奏响，穿越过惊险刺激的水上滑梯，从动感十足的连续弯道中疾驰而过，沁爽的轻风送来炎热盛夏中的一缕清凉。在鸭鸭水乐园中，和萌动的小黄鸭们一起无忧无虑地回忆童真时光，在奇幻的旅程下欢乐起航！,99999
糖果不夜城,3,漆夜降临，璀璨的烟火由糖针而绽放，诱心的短暂甜蜜，棉花糖云的漂浮，是融醉于心的幻想，硬糖雕刻而成的旋转木马和摩天轮，转动着爱的轮回，缤纷的糖果，是属于不夜城的狂欢。,99999
蜂之蜜语,3,棉花糖制成的白云带给人甜蜜的向往，果酱堆积成的群山和顺滑的丝丝蜂蜜，滋润着你的心，不断流淌着的蜜之河，指引着通往蜂巢的方向，关于甜蜜的秘方，等你前去探索。,99999
糖果乐园,3,香甜可口的马卡龙跳跃台、浓稠丝滑的巧克力河、酥脆的饼干道路、冰爽香甜的冰激凌山，来糖果乐园品尝盛夏的初心，体会爱的味道！,99999
冰火之都,3,脚下是光洁纯净的冰雕城镇，远处是熔岩滚烫的洞穴火山，红白相间，冰火两重。宁可无畏滑过冰雪，跨过瀑布，跃过熔浆，也不愿负这世间奇景。,99999
星星火车站,3,广袤极北，浩瀚冰雪，藏着孤独又神秘的交通枢纽站。有列披星戴月的专属火车会从这里启程，连接起飞车世界的各大风光，带你走遍每一条赛道，跨过冰河、越过高丘。列车将从星星火车站开启，让我们共赴一场浪漫飞车之旅。,99999
冰雪企鹅岛,3,皑皑雪山下藏着冰雪童话世界，活泼憨萌的企鹅家族世代繁衍，街边随处可见精心雕琢过的可爱雪人，童话中矮平却暖和的小木屋整齐排列，调皮小企鹅向我们发出邀请，来一起探索神秘的冰雪国度吧。,99999
极地冰镇,3,处于北极的一个小镇，完全被冰雪覆盖，雪是山川写下的诗，镇上房屋的一盏盏灯给人增添了一丝温暖，路边的动物正欣赏着一场刺激的赛车比赛，车手穿梭于极地冰镇间，享受着冰雪大世界。,99999
洛杉矶,3,金色沙滩，享阳光之旅，涟漪浪花点点；碧波椰林，游幅员辽阔，体验独具特色；万象风光，集风景秀丽，闪耀星光熠熠。心随我造，开始一场极速风光的洛杉矶之旅。,99999
希腊神殿,3,流瀑潺潺冲刷被遗忘的时光，神秘的符文记载着古老的预言，断壁残垣积蓄着力量的根源。希腊神庙的背后到底埋藏着怎样的传说，让我们勇敢无畏开启极限的挑战冒险。,99999
龙腾灯海,3,月光皎皎，薄雾缭绕，云海之中，花灯如昼。屋檐下的灯笼随微风摇曳，神龙于赛道之上飞舞，凤凰船在空中漂浮，灯海之中，欢乐之情溢于言表，龙腾赛道，欢欢喜喜闹元宵！,99999
因特拉肯,3,遥望神女峰的身影，穿梭在惬意的湖间小镇，疾驰在因特拉肯的风光之上。,99999
反向彩虹风车岛,3,越过陡峭的上坡，在彩虹下的吊桥上飞跃而过，漂移在金色的沙滩，感受彩虹风车岛的别样风景。,99999
龙门新春,3,穿过高墙幽巷，在古街旧道极限追逐，转过山峰急弯，淌过湍流河水，感受鱼跃龙门的心情。,99999
侏罗纪公园,3,穿过长颈龙组成的拱桥，踏上布满龙骨的熔浆炼路，和翼龙一起穿梭时光，体验一次世纪探险。,99999
城市网吧,3,追逐在高楼耸立的城市，同网吧的热情一起冲刺极速梦想，飞越在停车场的上空，寻找终点的方向。,99999
反向11城,3,镜像中的十一城，一样的城市风景，不一样的极速体验，在发卡弯下连续漂移，在长桥上冲过终点。,99999
广寒仙境,3,眺望皎洁的月光，赴约在广寒宫的桥廊，在漫天飘落的花瓣下疾驰，广寒仙境等你归来。,99999
小猪部落,3,征服茂密丛林，挑战无尽海域，跳跃在乱石的迷阵之间，和勇萌的小猪一起在部落里极速狂飙。,99999
情迷法兰西,3,穿越午后的阳光，飞越过林荫大道，在埃菲尔铁塔下一起追逐，在浪漫之都相约梦想。,99999
时之沙,3,从悬崖上一跃而下，体验极速的快感，穿过断壁残垣，越过时间的风沙，残破的纱幔在疾驰的风中凌乱飘扬。,99999
我们恋爱吧,3,爱心弯道让你在漂移中体会爱情味道，穿过爱的光环，让你在疾驰中不忘爱情甜蜜，爱之起源地，我们恋爱吧!,99999
雪地大冒险,3,疾驰在白雪皑皑的蜿蜒路面，随着漂移而扬起的雪花轻抚着车手的脸，极速刺激的雪地，等你来冒险。,99999
沉睡森林,3,张牙舞爪的枯枝挑战你的心跳，穿过诡异的森林，疾驰在幽暗的灯光下，映入眼帘的城堡等待着你的冒险！,99999
香波岛,3,在低洼暗礁中漂移，在奇幻小镇里冲刺，在粗壮树干下穿梭，在梅里号上探险。,99999
月光之城,3,穿梭在月光下的黑夜，与青铜武士的擦肩而过，从面前飞过的蝙蝠，幽森的城堡等待着你的前来冒险。,99999
11城,3,漂移在十一城的拐角，挑战极限的速度；蓝天下的城市风光，感受紧张的心跳。,99999
人鱼岛探险,4,悠扬婉转的歌声唤醒沉睡的记忆，人鱼的传说讲述着童话的唯美，海盗章鱼占领的破旧之船，是沉入海底的冒险梦想，海底的漩涡不断吞噬着深海未知的迷茫，坐在贝壳屋里的人鱼公主，正等待着你的到来，一段关于人鱼岛的奇幻探险就此打开。,99999
西湖,4,烟雨蒙蒙，小亭清荷迷离了圈点；柔云连连，春风十里拂动了思念；断桥湖畔，水光潋滟梦醒了眷恋。听一场春雨，静游一段西湖于心间。,99999
长城,4,层层梯田，蜿蜒的长城起伏在翠绿的群山，守卫相伴，时光流转孕育春的希望；烽火四起，雪雾弥漫，苍劲的长城起伏在茫茫的青原，白雪描绘冬的宁静。,99999
1号公路,4,岩壁为卷，风沙如笔，刻画摄人心魄；风光似画，茂密绿林，点染幽静殊美；陡峭高耸，碧波万顷，漂移挥洒自如；秀美小镇，西部风情，涂鸦随我情调；海滨公路 ，加州风情，乐享万里晴空。1号公路，畅快漂移。,99999
王者峡谷,4,大唐鼎盛，岁月为棋，机关防御塔守护最后的信仰，华美而威严的凤鸟雕塑下跳动的是勇者们内心的荣耀。最初的极速荣耀能否重新拾起，王者峡谷，全军出击！,99999
秋之物语,4,蓝天白云下的你追我赶，海岸线边上的极限漂移，吹拂秋日沁爽的海风，和旋转的风车一起领略秋的风采。,99999
莫高窟,5,穿越荒芜的沙漠，无数的旅人沿着通幽曲径探寻而来，只为一睹莫高窟的珍奇与辉煌――千姿百态的壁画、惊为天人的泥质彩塑、庄严的佛像、寓意深远的藏经，蕴藏着求道之人历代的祝福和期许。,99999
反向亚特兰蒂斯,5,摇曳的海藻是漂移的方向，极速驶过紧窄的隧道，潜入神秘的海底世界，和鱼儿一起冲刺徜徉。,99999
霍比特之旅,5,青葱草木下的漂移，引擎声在密道内回响，映照在长湖里的影子，体验一段奇幻的霍比特之旅！,99999
秋名山,5,崎岖的山路描绘最唯美的极速风光，曲折的弯道体现最惊险的激情体验，速度之间的较量，同你狂飙。,99999
西部矿山,5,引擎的轰鸣同火车一起喧嚣，在铁轨上疾驰追逐，在隧道里极限漂移，感受西部风情的热情无畏。,99999
美洲大峡谷,6,越过红沙峭壁，感受峡谷蜿蜒崎岖；在空中走廊漂移，俯瞰大自然的鬼斧神工；穿梭丛林秘境，挑战极速心跳。,99999
